GeneSymbol,T.8Nve #1,T.8Nve#2
AC004069.3,0,0
AC004074.1,0,0
AC004076.1,0,0
AC004076.2,14,33
AC004079.1,0,0
AC004079.2,0,0
AC004079.3,0,0
AC004079.4,0,0
AC004079.5,0,0
AC004080.1,0,1
AC004080.10,0,0
AC004080.11,0,0
AC004080.12,0,0
AC004080.13,0,0
AC004080.14,0,0
AC004080.15,0,0
AC004080.16,0,0
AC004080.17,0,0
AC004080.2,0,0
AC004080.3,0,0
AC004080.4,0,0
AC004080.5,0,0
AC004080.6,0,0
AC004080.7,0,0
AC004080.8,0,0
AC004080.9,0,0
AC004083.1,0,1
AC004112.1,0,0
AC004125.1,0,0
AC004129.1,0,0
AC004129.2,0,0
AC004129.3,0,0
AC004129.4,0,0
AC004130.1,0,0
AC004130.2,0,0
AC004134.1,0,3
AC004147.1,0,0
AC004147.2,0,1
AC004147.3,0,0
AC004147.4,4,0
AC004147.5,0,0
AC004148.1,28,24
AC004156.1,5,0
AC004158.1,4,0
AC004160.1,0,0
AC004160.2,0,0
AC004217.1,0,3
AC004217.2,0,0
AC004221.1,1,0
AC004223.1,0,0
AC004223.2,0,0
AC004223.3,0,0
AC004223.4,3,4
AC004224.1,0,0
AC004224.2,0,0
AC004231.1,0,0
AC004231.3,0,0
AC004232.1,0,0
AC004232.2,3,0
AC004233.1,0,1
AC004233.2,0,0
AC004233.3,0,2
AC004241.1,20,3
AC004241.2,0,0
AC004241.3,0,0
AC004241.4,1,1
AC004241.5,8,2
AC004253.1,14,14
AC004253.2,0,0
AC004257.1,0,0
AC004263.1,2,4
AC004263.2,85,144
AC004264.1,0,0
AC004264.2,0,5
AC004381.1,0,0
AC004381.2,0,0
AC004381.3,1,1
AC004381.4,1,0
AC004383.1,0,0
AC004386.1,0,0
AC004386.2,0,0
AC004386.3,0,0
AC004386.4,0,0
AC004386.5,0,0
AC004386.6,0,0
AC004386.7,0,0
AC004408.1,0,0
AC004408.2,0,1
AC004415.1,0,0
AC004448.1,0,0
AC004448.2,3,0
AC004448.3,0,0
AC004448.4,0,0
AC004448.5,0,0
AC004449.1,0,0
AC004453.1,69,99
AC004453.2,1,0
AC004461.1,3,2
AC004461.2,0,5
AC004461.3,0,10
AC004464.1,0,0
AC004466.1,6,2
AC004466.2,3,1
AC004466.3,11,9
AC004467.1,0,0
AC004470.1,0,0
AC004470.2,0,1
AC004471.1,0,0
AC004471.2,0,0
AC004477.1,27,8
AC004477.2,0,0
AC004477.3,6,4
AC004485.1,0,0
AC004486.1,0,0
AC004490.1,1,0
AC004491.1,0,0
AC004492.1,3,1
AC004494.1,42,50
AC004494.2,0,0
AC004510.1,0,0
AC004522.1,0,0
AC004522.2,0,0
AC004522.3,0,0
AC004522.4,0,0
AC004522.5,0,0
AC004522.6,1,2
AC004528.1,2,1
AC004528.2,0,0
AC004540.1,0,3
AC004540.2,0,2
AC004542.1,0,0
AC004542.2,0,0
AC004542.3,0,0
AC004542.4,0,0
AC004542.5,0,0
AC004542.6,0,0
AC004543.1,0,0
AC004549.1,0,0
AC004551.1,1,4
AC004552.1,0,2
AC004554.1,0,0
AC004554.2,1,0
AC004556.1,0,0
AC004556.2,0,0
AC004556.3,4,0
AC004556.4,0,0
AC004562.1,0,0
AC004584.1,0,0
AC004584.2,3,1
